iter	Passed	Remaining
0	1	1868
1	4	2033
2	6	2087
3	7	1927
4	9	1839
5	11	1979
6	13	1901
7	14	1845
8	16	1790
9	18	1824
10	20	1881
11	22	1846
12	23	1810
13	25	1799
14	27	1810
15	29	1834
16	38	2218
17	46	2514
18	49	2573
19	54	2663
20	57	2692
21	59	2640
22	61	2600
23	63	2597
24	67	2639
25	69	2610
26	71	2586
27	73	2557
28	75	2532
29	78	2539
30	82	2590
31	84	2563
32	86	2538
33	88	2513
34	90	2488
35	92	2473
36	94	2448
37	96	2433
38	98	2421
39	99	2397
40	102	2403
41	104	2386
42	107	2388
43	110	2404
44	115	2448
45	117	2441
46	120	2434
47	122	2424
48	124	2414
49	127	2414
50	130	2428
51	132	2422
52	137	2451
53	139	2439
54	144	2479
55	148	2496
56	151	2500
57	153	2496
58	156	2494
59	159	2506
60	162	2501
61	164	2487
62	166	2473
63	168	2465
64	171	2459
65	173	2457
66	175	2441
67	176	2425
68	178	2414
69	181	2405
70	183	2397
71	184	2382
72	186	2367
73	188	2360
74	190	2348
75	192	2336
76	194	2325
77	195	2315
78	197	2305
79	199	2297
80	202	2292
81	204	2288
82	205	2274
83	207	2261
84	209	2251
85	210	2241
86	212	2229
87	214	2221
88	216	2219
89	218	2211
90	220	2201
91	221	2189
92	223	2178
93	225	2168
94	226	2158
95	228	2149
96	229	2140
97	232	2142
98	235	2140
99	237	2134
100	239	2128
101	241	2125
102	243	2120
103	247	2130
104	250	2131
105	252	2127
106	254	2122
107	255	2113
108	257	2103
109	258	2095
110	260	2088
111	263	2091
112	265	2084
113	267	2077
114	268	2069
115	270	2061
116	271	2051
117	273	2043
118	275	2036
119	277	2032
120	279	2028
121	280	2019
122	282	2011
123	283	2004
124	285	1996
125	286	1987
126	287	1978
127	289	1971
128	291	1965
129	292	1960
130	294	1955
131	296	1948
132	297	1941
133	299	1934
134	300	1927
135	302	1921
136	303	1914
137	305	1908
138	307	1905
139	309	1899
140	310	1893
141	311	1883
142	313	1876
143	314	1870
144	316	1865
145	317	1858
146	319	1852
147	321	1851
148	323	1845
149	324	1839
150	326	1833
151	328	1831
152	329	1824
153	330	1818
154	332	1812
155	334	1811
156	337	1812
157	341	1818
158	343	1816
159	344	1810
160	346	1803
161	347	1799
162	349	1795
163	351	1793
164	353	1790
165	355	1786
166	357	1783
167	359	1779
168	361	1775
169	363	1773
170	365	1770
171	367	1767
172	368	1762
173	370	1758
174	373	1761
175	377	1766
176	379	1762
177	381	1762
178	383	1757
179	384	1752
180	386	1748
181	388	1747
182	390	1742
183	392	1738
184	393	1734
185	396	1734
186	397	1729
187	399	1724
188	401	1721
189	402	1716
190	404	1712
191	405	1707
192	407	1703
193	410	1703
194	411	1699
195	413	1694
196	416	1697
197	418	1696
198	420	1693
199	422	1689
200	425	1692
201	428	1692
202	429	1688
203	431	1682
204	432	1678
205	434	1673
206	435	1670
207	437	1665
208	439	1662
209	441	1660
210	442	1656
211	444	1651
212	445	1647
213	447	1642
214	448	1638
215	450	1634
216	451	1630
217	453	1626
218	455	1623
219	456	1619
220	458	1615
221	459	1610
222	460	1606
223	463	1604
224	464	1600
225	466	1596
226	467	1592
227	469	1589
228	471	1588
229	473	1584
230	474	1580
231	476	1576
232	478	1574
233	479	1571
234	481	1567
235	483	1564
236	484	1561
237	487	1561
238	489	1557
239	496	1570
240	498	1570
241	500	1568
242	502	1566
243	504	1563
244	506	1559
245	507	1555
246	509	1552
247	510	1548
248	512	1546
249	514	1542
250	516	1540
251	518	1538
252	520	1535
253	521	1531
254	523	1528
255	524	1525
256	526	1522
257	528	1518
258	529	1515
259	531	1512
260	533	1509
261	534	1506
262	536	1503
263	537	1499
264	539	1495
265	540	1492
266	542	1488
267	543	1484
268	545	1481
269	547	1479
270	549	1476
271	550	1473
272	551	1469
273	553	1465
274	554	1462
275	556	1458
276	557	1455
277	559	1453
278	563	1456
279	565	1455
280	567	1451
281	568	1447
282	570	1444
283	571	1441
284	573	1438
285	574	1435
286	577	1433
287	578	1431
288	580	1427
289	581	1424
290	583	1420
291	584	1416
292	585	1413
293	587	1410
294	588	1406
295	590	1403
296	592	1401
297	593	1398
298	595	1396
299	599	1397
300	600	1395
301	602	1392
302	604	1389
303	606	1387
304	608	1385
305	609	1382
306	611	1379
307	612	1376
308	614	1373
309	615	1369
310	616	1365
311	618	1363
312	620	1362
313	623	1361
314	624	1358
315	626	1355
316	627	1351
317	629	1349
318	630	1346
319	632	1343
320	634	1342
321	638	1345
322	640	1342
323	641	1339
324	643	1335
325	644	1332
326	645	1329
327	647	1325
328	649	1323
329	651	1322
330	653	1320
331	654	1317
332	656	1314
333	657	1311
334	659	1308
335	660	1305
336	661	1301
337	663	1298
338	664	1295
339	666	1294
340	667	1290
341	669	1287
342	670	1284
343	671	1281
344	673	1278
345	674	1275
346	676	1272
347	677	1269
348	679	1267
349	680	1264
350	681	1260
351	683	1257
352	684	1254
353	685	1251
354	687	1248
355	688	1246
356	690	1243
357	691	1240
358	693	1237
359	695	1235
360	696	1232
361	697	1229
362	699	1226
363	700	1223
364	701	1220
365	702	1217
366	704	1214
367	705	1211
368	707	1209
369	709	1208
370	711	1205
371	712	1202
372	713	1199
373	715	1197
374	716	1194
375	717	1191
376	719	1188
377	720	1185
378	721	1182
379	723	1181
380	725	1178
381	726	1175
382	727	1172
383	729	1169
384	730	1166
385	731	1164
386	733	1161
387	734	1158
388	735	1155
389	737	1153
390	739	1152
391	741	1149
392	742	1146
393	743	1144
394	745	1141
395	746	1138
396	747	1135
397	749	1133
398	750	1130
399	751	1127
400	753	1125
